flights,departure_lat,departure_lng,arrival_lat,arrival_lng,year,node_dc,urban_group
3150,39.124352,117.3461,23.392429,113.298698,2015,0.572414,bth
3141,23.392429,113.298698,39.124352,117.3461,2015,0.675862,prd
3139,40.084152,116.592735,40.853503,111.826381,2015,0.887356,bth
3136,31.196099,121.339766,43.907101,87.474243,2015,0.358621,yrd
3124,26.538521,106.800697,30.2295,120.434402,2015,0.471264,none
3120,43.907101,87.474243,31.196099,121.339766,2015,0.337931,none
3117,30.2295,120.434402,26.538521,106.800697,2015,0.602299,yrd
3112,38.96566,121.538597,31.742041,118.862,2015,0.441379,none
3110,31.742041,118.862,38.96566,121.538597,2015,0.43908,yrd
3100,26.538521,106.800697,30.57852,103.946999,2015,0.471264,none
3099,30.57852,103.946999,26.538521,106.800697,2015,0.721839,none
3063,31.14337,121.805199,19.934851,110.4589,2015,0.772414,yrd
3058,34.519669,113.840797,29.71921,106.641602,2015,0.478161,none
3030,29.71921,106.641602,34.519669,113.840797,2015,0.696552,none
3016,30.783751,114.208099,22.63925,113.8106,2015,0.425287,none
3014,19.934851,110.4589,31.14337,121.805199,2015,0.526437,none
3014,22.63925,113.8106,30.783751,114.208099,2015,0.63908,prd
2999,29.29777,90.911942,29.71921,106.641602,2015,0.11954,none
2992,29.71921,106.641602,43.907101,87.474243,2015,0.696552,none
2991,29.71921,106.641602,29.29777,90.911942,2015,0.696552,none
2985,43.907101,87.474243,29.71921,106.641602,2015,0.337931,none
2983,25.2181,110.039101,31.14337,121.805199,2015,0.303448,none
2979,37.038007,79.868983,43.907101,87.474243,2015,0.036782,none
2977,31.14337,121.805199,25.2181,110.039101,2015,0.772414,yrd
2974,43.907101,87.474243,37.038007,79.868983,2015,0.337931,none
2972,37.657223,120.987221,31.196099,121.339766,2015,0.273563,none
2954,18.302891,109.412201,30.2295,120.434402,2015,0.335632,none
2949,30.2295,120.434402,18.302891,109.412201,2015,0.602299,yrd
2936,28.865,115.900002,40.084152,116.592735,2015,0.324138,none
2935,40.084152,116.592735,28.865,115.900002,2015,0.887356,bth
2930,26.683332,100.25,21.972467,100.76475,2015,0.216092,none
2921,28.865,115.900002,22.63925,113.8106,2015,0.324138,none
2912,22.63925,113.8106,28.865,115.900002,2015,0.63908,prd
2911,24.544029,118.127701,28.196667,113.220833,2015,0.436782,none
2910,30.57852,103.946999,30.783751,114.208099,2015,0.721839,none
2906,28.196667,113.220833,24.544029,118.127701,2015,0.510345,none
2895,31.196099,121.339766,37.657223,120.987221,2015,0.358621,yrd
2879,30.783751,114.208099,30.57852,103.946999,2015,0.425287,none
2876,23.392429,113.298698,31.986345,116.970474,2015,0.675862,prd
2874,25.647097,100.320711,25.101944,102.929169,2015,0.11954,none
2872,28.196667,113.220833,31.742041,118.862,2015,0.510345,none
2867,24.544029,118.127701,30.2295,120.434402,2015,0.436782,none
2865,31.986345,116.970474,23.392429,113.298698,2015,0.28046,yrd
2865,31.742041,118.862,28.196667,113.220833,2015,0.43908,yrd
2859,30.783751,114.208099,18.302891,109.412201,2015,0.425287,none
2850,30.2295,120.434402,24.544029,118.127701,2015,0.602299,yrd
2838,18.302891,109.412201,30.783751,114.208099,2015,0.335632,none
2836,30.57852,103.946999,32.851353,103.685263,2015,0.721839,none
